id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
906044158725686914,Rental unit in Santiago · ★5.0 · 1 bedroom · 2 beds · 1 bath,306545917,Horacio,,Santiago,-33.4475,-70.64489,Entire home/apt,28429,2,13,2023-12-05,2.89,1,248,13,
908214237642471024,Home in Santiago · 1 bedroom · 1 bed · 1 private bath,64692206,Veronica,,Vitacura,-33.39062,-70.59082,Private room,60000,1,1,2023-06-15,0.15,2,361,1,
906471493138421608,Rental unit in Santiago · ★5.0 · 1 bedroom · 1 bed · 1 bath,446652769,Nicolas,,Santiago,-33.46233,-70.65154,Entire home/apt,42500,1,4,2023-08-29,0.70,1,319,4,
908225060581235439,Rental unit in Providencia · 1 bedroom · 2 beds · 1 bath,518483717,Maximo,,Providencia,-33.43236036951147,-70.60912060106206,Private room,176000,1,1,2023-06-08,0.15,1,365,1,
906502089555279560,Home in Santiago · ★4.62 · 1 bedroom · 1 bed · 1 bath,506408083,Tania,,Providencia,-33.43531,-70.63233,Private room,22143,1,26,2023-11-18,3.90,6,345,26,
908515366604429625,Home in Santiago · ★5.0 · 1 bedroom · 1 bed · 1 bath,111678044,Ibalú,,Providencia,-33.44829,-70.62557,Entire home/apt,35698,3,5,2023-10-16,0.79,1,197,5,
906507551720085144,Home in Santiago · ★4.60 · 2 bedrooms · 2 beds · 1 bath,506408083,Tania,,Providencia,-33.43534,-70.63416,Entire home/apt,67857,1,5,2023-12-15,1.74,6,347,5,
906596904672634402,Rental unit in Las Condes · ★4.77 · 1 bedroom · 2 beds · 1 bath,3825119,Ezequiel,,Las Condes,-33.4004972,-70.5714394,Entire home/apt,72143,2,22,2023-12-24,3.67,1,315,22,
906614607708636736,Guesthouse in Las Condes · ★5.0 · 1 bedroom · 1 bed · 1 private bath,241935599,Consuelo,,Las Condes,-33.42036,-70.58564,Private room,25000,4,5,2023-11-28,1.26,1,365,5,
908675468023347615,Rental unit in Santiago · ★4.92 · 1 bedroom · 1 bed · 1 bath,112310889,Erica,,Santiago,-33.4352592,-70.65428,Entire home/apt,33883,1,13,2023-12-02,2.29,10,167,13,
908687857460492705,Rental unit in Santiago · ★4.73 · 2 bedrooms · 2 beds · 2 baths,112310889,Erica,,Santiago,-33.4352592,-70.65428,Entire home/apt,47181,2,11,2023-11-27,2.00,10,245,11,
908688520063556645,Rental unit in San Miguel · ★5.0 · 2 bedrooms · 2 beds · 2 baths,475480613,Pamela,,San Miguel,-33.49464,-70.65111,Entire home/apt,51129,10,4,2023-12-18,1.67,1,328,4,
906674584071330646,Rental unit in Las Condes · ★4.94 · 1 bedroom · 1 bed · 1 bath,24685622,Ive Caroline,,Las Condes,-33.39391,-70.54896,Entire home/apt,60562,3,18,2023-12-15,2.89,1,35,18,
908800837689444670,Rental unit in Santiago · 1 bedroom · 1 bed · Shared half-bath,15060222,Carmen,,Providencia,-33.43114,-70.61096,Private room,15543,30,0,,,2,122,0,
906678654538262569,Home in La Reina · 1 bedroom · 1 bed · 1 bath,517044274,Graciela,,La Reina,-33.45396,-70.5324,Private room,13600,1,0,,,2,364,0,
906700486468232557,Rental unit in Providencia · ★4.86 · 1 bedroom · 1 bed · 1 bath,518267799,Diego,,Providencia,-33.4267512,-70.6176574,Entire home/apt,48824,2,22,2023-12-18,3.24,5,152,22,
906716867484842140,Rental unit in Santiago · ★4.65 · 1 bedroom · 1 bed · 1 bath,95624574,Nicolás,,Estación Central,-33.45444,-70.69277,Entire home/apt,29286,2,31,2023-12-19,4.65,1,167,31,
906730503133260391,Rental unit in Santiago · ★4.93 · Studio · 1 bed · 1 bath,174727566,Alvis,,Ñuñoa,-33.45211,-70.62835,Entire home/apt,35000,2,15,2023-12-26,2.51,1,49,15,
908811268043989346,Rental unit in Las Condes · ★4.94 · 1 bedroom · 1 bed · 1 shared bath,164472468,Luis,,Las Condes,-33.41189,-70.59813,Private room,45000,1,16,2023-12-06,2.47,2,0,16,
906771266796853652,Rental unit in Providencia · ★4.88 · 1 bedroom · 2 beds · 1 bath,154815866,Martin,,Providencia,-33.427849205240555,-70.61858886256563,Entire home/apt,37571,3,26,2023-12-17,4.22,1,45,26,
908864031461807272,Rental unit in Ñuñoa · 1 bedroom · 1 bed · 1 bath,518480097,Paolo,,Ñuñoa,-33.4510317,-70.624881,Private room,11500,5,0,,,1,330,0,
907162674741597344,Rental unit in Las Condes · ★4.90 · 2 bedrooms · 3 beds · 2 baths,478776016,Rafael,,Las Condes,-33.41475,-70.60337,Entire home/apt,53571,3,29,2023-12-12,4.29,3,355,29,
907266136006946180,Home in Santiago · ★4.69 · 1 bedroom · 1 bed · 1 shared bath,506408083,Tania,,Providencia,-33.43517,-70.63303,Private room,30000,1,26,2023-12-24,4.11,6,337,26,
908956701486962984,Home in Santiago · 1 bedroom · 1 bed · 2 shared baths,518069715,Paulo,,Santiago,-33.44315,-70.67426,Shared room,10000,1,1,2023-07-13,0.18,1,269,1,
907390837540992600,Rental unit in Ñuñoa · ★4.95 · 2 bedrooms · 2 beds · 2 baths,458746943,Hector,,Ñuñoa,-33.45103,-70.62996,Entire home/apt,37000,3,20,2023-12-25,3.00,1,311,20,
907409563722761445,Home in Santiago · ★4.75 · 1 bedroom · 1 bed · 1 bath,507215295,Nicolas,,Providencia,-33.43575,-70.63394,Private room,25000,1,4,2023-09-08,0.65,3,345,4,
907415705192893742,Home in Santiago · 1 bedroom · 1 bed · 1 bath,507215295,Nicolas,,Providencia,-33.43509,-70.63448,Private room,25000,1,1,2023-07-24,0.19,3,356,1,
907431476289071684,Home in Santiago · 2 bedrooms · 2 beds · 1 bath,507215295,Nicolas,,Providencia,-33.43535,-70.6328,Entire home/apt,87143,1,0,,,3,81,0,
907442831357763412,Rental unit in Providencia · ★4.87 · 1 bedroom · 2 beds · 1 bath,173411108,Nicole,,Providencia,-33.4223508,-70.6075051,Entire home/apt,50000,1,30,2023-12-19,4.81,1,163,30,
908989931942533422,Rental unit in Santiago · ★4.83 · 1 bedroom · 2 beds · 1 bath,518834321,Eliazander,,Santiago,-33.4401,-70.65613,Entire home/apt,33071,1,6,2023-11-29,1.51,3,91,6,
907450872048348744,Rental unit in Santiago · 5 bedrooms · 7 beds · 3 baths,175130313,Maria,,Lo Barnechea,-33.33385,-70.28884,Entire home/apt,,2,2,2023-09-10,0.41,2,0,2,
909366086267550814,Rental unit in Santiago · ★4.95 · 2 bedrooms · 3 beds · 1 bath,518914799,Paz,,Santiago,-33.44319674343427,-70.64237952232361,Entire home/apt,40714,3,20,2023-12-02,3.21,2,0,20,
909401302127952947,Rental unit in La Florida · ★5.0 · 2 bedrooms · 2 beds · 1 bath,499321731,Eduardo Daniel,,La Florida,-33.51711,-70.60318,Entire home/apt,45000,1,4,2023-12-01,0.62,1,259,4,
907769538364667890,Rental unit in Ñuñoa · 1 bedroom · 1 bed · 1 bath,233666308,Antonio,,Ñuñoa,-33.460119240598274,-70.62377861979759,Entire home/apt,43143,3,1,2023-10-02,0.34,1,171,1,
909440649818398618,Rental unit in Santiago · ★4.75 · 1 bedroom · 1 bed · 1 bath,112310889,Erica,,Santiago,-33.4356,-70.65393,Entire home/apt,31432,2,12,2023-12-11,2.07,10,258,12,
907865045328509142,Hostel in Santiago · ★5.0 · 1 bedroom · 4 beds · 1 shared bath,516713909,Hostel Cienfuegos,,Santiago,-33.4427274,-70.66329019999999,Shared room,13387,1,3,2023-12-23,0.75,5,365,3,
912601570174508226,Rental unit in Las Condes · 1 bedroom · 1 bed · Half-bath,221023305,Alejandro,,Las Condes,-33.40629,-70.56517,Private room,30000,1,2,2023-07-29,0.36,1,364,2,
909539691447106728,Rental unit in Lo Barnechea · 4 bedrooms · 4 beds · 3.5 baths,235041203,Carolina,,Lo Barnechea,-33.35288,-70.51411,Entire home/apt,135714,10,0,,,9,299,0,
912958867904333481,Serviced apartment in Providencia · 1 bedroom · 1 bed · 1 private bath,192100090,H Y A,,Providencia,-33.43729014532707,-70.63444253057241,Private room,47000,1,0,,,1,250,0,
909558346215505132,Rental unit in Santiago · 2 bedrooms · 2 beds · 1 bath,385999075,Claudia,,Independencia,-33.4217,-70.65691,Entire home/apt,33000,7,1,2023-07-22,0.19,1,365,1,
909586810259695214,Rental unit in Santiago · ★4.70 · 1 bedroom · 1 bed · 1 bath,490974377,MVP Housing,,Estación Central,-33.454888782116726,-70.69994281216431,Entire home/apt,27709,1,29,2023-12-05,4.48,14,0,29,
